Location Name;URL;Mailbox Plus;Telephone Answering;Virtual Office;Virtual Office Plus
Tokyo Shibuya Jinnan (Open Office);http://www.en.regus.co.jp/locations/virtual-office/tokyo-shibuya-jinnan-open-office;¥9,900.00;¥18,900.00;¥24,900.00;¥1.00
Tokyo Shibuya Mark City;http://www.en.regus.co.jp/locations/virtual-office/tokyo-shibuya-mark-city;¥17,900.00;¥24,900.00;¥34,900.00;¥50,900.00
Tokyo Shibuya TOC (Open Office);http://www.en.regus.co.jp/locations/virtual-office/tokyo-shibuya-toc-open-office;¥7,900.00;¥18,900.00;¥19,900.00;¥1.00
Tokyo Shinagawa East One Tower;http://www.en.regus.co.jp/locations/virtual-office/tokyo-shinagawa-east-one-tower;¥20,900.00;¥24,900.00;¥37,900.00;¥49,900.00
Tokyo Shinjuku Minamiguchi;http://www.en.regus.co.jp/locations/virtual-office/tokyo-shinjuku-minamiguchi;¥11,900.00;¥18,900.00;¥27,900.00;¥37,900.00
Tokyo Shinjuku Nishiguchi;http://www.en.regus.co.jp/locations/virtual-office/tokyo-shinjuku-nishiguchi;¥17,900.00;¥18,900.00;¥32,900.00;¥46,900.00
Tokyo Shinjuku Park Tower;http://www.en.regus.co.jp/locations/virtual-office/tokyo-shinjuku-park-tower;¥17,900.00;¥18,900.00;¥32,900.00;¥46,900.00
Tokyo Shiodome Building Hamamatsu cho;http://www.en.regus.co.jp/locations/virtual-office/tokyo-shiodome-building;¥11,900.00;¥24,900.00;¥28,900.00;¥43,900.00
Tokyo Spaces Otemachi Building;http://www.en.regus.co.jphttps://www.spacesworks.com/ja/tokyo/otemachi/;¥17,900.00;¥24,900.00;¥34,900.00;¥49,900.00
Tokyo Tameike-Sanno (Open Office);http://www.en.regus.co.jp/locations/virtual-office/tokyo-tameike-sanno-open-office;¥11,900.00;¥18,900.00;¥23,900.00;¥1.00
Tokyo Yaesu Dori;http://www.en.regus.co.jp/locations/virtual-office/tokyo-yaesu-dori;¥14,900.00;¥24,900.00;¥34,900.00;¥43,900.00
Yokohama Kannai;http://www.en.regus.co.jp/locations/virtual-office/yokohama-kannai;¥7,900.00;¥18,900.00;¥23,900.00;¥29,900.00
Yokohama Wise Next Shin Yokohama;http://www.en.regus.co.jp/locations/virtual-office/yokohama-wise-next-shin-yokohama;¥14,900.00;¥18,900.00;¥24,900.00;¥30,900.00
Yokohama Yokohamaeki Nishiguchi;http://www.en.regus.co.jp/locations/virtual-office/yokohama-yokohamaeki-nishiguchi;¥9,900.00;¥13,900.00;¥18,900.00;¥22,900.00
Chiba Chiba Daiei;http://www.en.regus.co.jp/locations/virtual-office/chiba-chiba-daiei;¥9,900.00;¥18,900.00;¥22,900.00;¥27,900.00
Ibaraki Mito (Open Office);http://www.en.regus.co.jp/locations/virtual-office/ibaraki-mito-open-office;¥9,900.00;¥13,900.00;¥14,900.00;¥1.00
Fukuoka Aqua Hakata;http://www.en.regus.co.jp/locations/virtual-office/fukuoka-aqua-hakata;¥11,900.00;¥13,900.00;¥19,900.00;¥26,900.00
Fukuoka Hakata Ekimaedori (Open Office);http://www.en.regus.co.jp/locations/virtual-office/fukuoka-hakata-ekimaedori-open-office;¥9,900.00;¥13,900.00;¥18,900.00;¥1.00
Fukuoka Hakataeki Chikushiguchi Centre;http://www.en.regus.co.jp/locations/virtual-office/fukuoka-hakataeki-chikushiguchi-centre;¥9,900.00;¥13,900.00;¥17,900.00;¥21,900.00
Fukuoka JR JP Hakata Building;http://www.en.regus.co.jp/locations/virtual-office/fukuoka-jr-jp-hakata-building;¥17,900.00;¥24,900.00;¥31,900.00;¥39,900.00
Fukuoka Tenjin Minami;http://www.en.regus.co.jp/locations/virtual-office/fukuoka-tenjin-minami;¥11,900.00;¥13,900.00;¥18,900.00;¥25,900.00
Hiroshima Otemachi (Open Office);http://www.en.regus.co.jp/locations/virtual-office/hiroshima-otemachi-open-office;¥7,900.00;¥18,900.00;¥21,900.00;¥1.00
Hiroshima high;http://www.en.regus.co.jp/locations/virtual-office/hiroshima-high;¥9,900.00;¥18,900.00;¥25,900.00;¥31,900.00
Osaka Hankyu Terminal Building;http://www.en.regus.co.jp/locations/virtual-office/osaka-hankyu-terminal-building;¥17,900.00;¥18,900.00;¥30,900.00;¥41,900.00
Osaka Keihan Yodoyabashi(Open Offiice);http://www.en.regus.co.jp/locations/virtual-office/osaka-keihan-yodoyabashi-open-offiice;¥9,900.00;¥13,900.00;¥15,900.00;¥1.00
Osaka Kokusai;http://www.en.regus.co.jp/locations/virtual-office/osaka-kokusai;¥14,900.00;¥18,900.00;¥25,900.00;¥36,900.00
Osaka Namba Parks;http://www.en.regus.co.jp/locations/virtual-office/osaka-namba-parks;¥11,900.00;¥18,900.00;¥25,900.00;¥32,900.00
Osaka Pacific Marks Nishi-Umeda;http://www.en.regus.co.jp/locations/virtual-office/osaka-pacific-marks-nishi-umeda;¥11,900.00;¥18,900.00;¥23,900.00;¥34,900.00
Osaka Shin Osaka Hankyu Building;http://www.en.regus.co.jp/locations/virtual-office/osaka-shin-osaka-hankyu-building;¥11,900.00;¥18,900.00;¥24,900.00;¥35,900.00
Osaka Shin-Osaka Kita (Open Office);http://www.en.regus.co.jp/locations/virtual-office/osaka-shin-osaka-kita-open-office;¥7,900.00;¥18,900.00;¥19,900.00;¥1.00
Osaka Umeda;http://www.en.regus.co.jp/locations/virtual-office/osaka-umeda;¥17,900.00;¥18,900.00;¥30,900.00;¥41,900.00
Nagoya Hirokoji Garden Avenue;http://www.en.regus.co.jp/locations/virtual-office/nagoya-hirokoji-garden-avenue;¥11,900.00;¥18,900.00;¥27,900.00;¥39,900.00
Nagoya Marunouchi (Open Office);http://www.en.regus.co.jp/locations/virtual-office/nagoya-marunouchi-open-office;¥9,900.00;¥18,900.00;¥19,900.00;¥24,900.00
Nagoya Meieki;http://www.en.regus.co.jp/locations/virtual-office/nagoya-meieki;¥14,900.00;¥18,900.00;¥30,900.00;¥41,900.00
Nagoya Meieki Minami (Open Office);http://www.en.regus.co.jp/locations/virtual-office/nagoya-meieki-minami-open-office;¥14,900.00;¥18,900.00;¥19,900.00;¥1.00
Nagoya Nagoyaeki Higashiguchi;http://www.en.regus.co.jp/locations/virtual-office/nagoya-nagoyaeki-higashiguchi;¥9,900.00;¥18,900.00;¥19,900.00;¥24,900.00
Nagoya Sakae Gas Building;http://www.en.regus.co.jp/locations/virtual-office/nagoya-sakae-gas-building;¥9,900.00;¥16,900.00;¥18,900.00;¥23,900.00
Nagoya Spaces JP Tower Nagoya;http://www.en.regus.co.jphttps://www.spacesworks.com/ja/nagoya/jp-tower-nagoya/;¥11,900.00;¥18,900.00;¥27,900.00;¥39,900.00
Sendai Aoba Dori (Open Office);http://www.en.regus.co.jp/locations/virtual-office/sendai-aoba-dori-open-office;¥9,900.00;¥13,900.00;¥15,900.00;¥1.00
Sendai Ekimae (Open Office);http://www.en.regus.co.jp/locations/virtual-office/sendai-ekimae-open-office;¥14,900.00;¥18,900.00;¥20,900.00;¥1.00
Okayama Daiichi Central;http://www.en.regus.co.jp/locations/virtual-office/okayama-daiichi-central;¥9,900.00;¥13,900.00;¥15,900.00;¥20,900.00
Kobe Kokusai Kaikan;http://www.en.regus.co.jp/locations/virtual-office/kobe-kokusai-kaikan;¥14,900.00;¥18,900.00;¥29,900.00;¥40,900.00
Kagawa Takamatsu;http://www.en.regus.co.jp/locations/virtual-office/kagawa-takamatsu;¥9,900.00;¥13,900.00;¥15,900.00;¥17,900.00
Kyoto Karasuma (Open Office);http://www.en.regus.co.jp/locations/virtual-office/kyoto-karasuma-open-office;¥9,900.00;¥13,900.00;¥14,900.00;¥1.00
Kyoto Kawaramachi Oike (Open Office);http://www.en.regus.co.jp/locations/virtual-office/kyoto-kawaramachi-oike-open-office;¥9,900.00;¥13,900.00;¥14,900.00;¥1.00
Sapporo Minami (Openoffice);http://www.en.regus.co.jp/locations/virtual-office/sapporo-minami-openoffice;¥7,900.00;¥13,900.00;¥15,900.00;¥19,900.00
Sapporo Odori;http://www.en.regus.co.jp/locations/virtual-office/sapporo-odori;¥14,900.00;¥18,900.00;¥19,900.00;¥25,900.00
Aomori Aqua Aomori Square;http://www.en.regus.co.jp/locations/virtual-office/aomori-aqua-aomori-square;¥7,900.00;¥13,900.00;¥14,900.00;¥17,900.00
Kagoshima Kagoshima Tenmonkan;http://www.en.regus.co.jp/locations/virtual-office/kagoshima-kagoshima-tenmonkan;¥11,900.00;¥18,900.00;¥22,900.00;¥27,900.00
Okinawa Hawk City Naha;http://www.en.regus.co.jp/locations/virtual-office/okinawa-hawk-city-naha;¥11,900.00;¥18,900.00;¥24,900.00;¥29,900.00
